Longitude,Latitude,Label
-9.05,4.983333,Greenville
-74.016667,40.666667,Brooklyn
107.066667,10.316667,Mui Vung Tau
-3.301667,58.950361,Stromness
119.4,-5.133333,Ujung Pandang
143,53.55,Okha
-61.635778,10.677028,Chaguaramas
-64.670917,48.347889,Chandler
-27.05,38.716667,Praia De Vitoria
100.916667,12.616667,Sattahip
-80.05,26.766667,Palm Beach
-160.533333,55.233333,Baralof Bay
-4.859278,55.7575,Largs
28.975611,41.017778,Istanbul
10.124083,56.711611,Hadsund
125.002056,12.574139,Laoang
119.609194,39.907889,Qinhuangdao
-2.980861,51.5425,Newport
123.425417,7.813333,Pagadian
7.766667,4,Odudu Terminal
13.110806,54.308333,Stralsund
138.218361,37.169556,Naoetsu
-176.627556,51.864167,Adak Naval Air Station
-91.251056,29.635167,Morgan City
11.805639,58.085778,Stenungsund
21.233333,64.683333,Skelleftehamn
-128.683333,53.166667,Butedale
35.766667,35.533333,Al Ladhiqiyah
-151.416667,59.6,Coal Point
-42.283333,-2.733333,Tutoia
33.860778,36.312861,Tasucu
-97.2,26.083333,Port Isabel
137.919583,-34.431639,Ardrossan
-119.516667,34.383333,Carpinteria
-152.583333,60.1,Snug Harbor
105.766667,18.766667,Nghe Tinh
6.916667,62.9,Bud
9.516667,53.65,Butzfleth
-75.566667,39.65,New Castle
10.316667,56.983333,Hals
-8.88875,37.957472,Sines
-73.813417,40.862917,Yonkers
-75.733333,9.5,Covenas Offshore Term.
3.057472,41.786222,San Feliu De Guixols
32.083333,-28.816667,Richards Bay
145.783333,-16.916667,Cairns
11.25,55.2,Stigsnaesvaerket
29.616667,31.1,Sidi Kerir (Kurayr)
34.854556,32.352417,Hadera
121.714139,29.948722,Zhen Hai
8.748278,57.102889,Thisted
0.541639,51.409583,Chatham Docks
12.433333,45.416667,Porto Di Lido Venezia
26.70125,39.334972,Ayvalik
-153.033333,57.933333,Dry Spruce Bay
135.433333,34.65,Osaka
132.557028,34.238306,Kure
-66.928361,17.967944,Playa De Guanica
124.367861,11.063333,Palompon
168.310778,-46.595472,Bluff Harbor
21.412417,60.798306,Uusikaupunki
129.965861,33.457889,Karatsu
13.7,68.066667,Ballstad
-3.2,58.8,South Ness
11.25,64.866667,Rorvik
134.75,34.716667,Higashi Harima
-58.542667,48.542833,Stephenville
52.2,15.816667,Nishtun
-159.333333,22,Ahukini Landing
123.049194,0.488722,Gorontalo
119.566667,35.383333,Rizhao
-1.133333,54.65,Teesport
-68.443917,44.152667,Minturn
115.632944,-33.312528,Bunbury
-77.183333,-11.75,Bahia De Ancon
116.848306,6.877944,Kudat
-1.615444,48.835806,Granville
-152.133333,60.55,Drift River
118.583333,4.95,Bakapit
170.633333,-45.816667,Otago Harbor
-5.128389,57.874583,Ullapool
7.777083,36.908306,Annaba
30.05,69.733333,Kirkenes
-109.066667,25.6,Topolobampo
137.066667,34.666667,Atsumi
10.793389,55.307861,Nyborg
130.485056,-3.097111,Bula
-80.616667,28.7,Canaveral Harbor
8.099083,56.029972,Ringkobing
123.905,10.29125,Cebu
23.594139,38.03375,Aspropirgos
-77.455083,18.469583,Rio Bueno
119.731667,-0.642944,Donggala
-135.45,58.416667,Excursion Inlet
-140.093389,-8.937944,Baie Taiohae
14.045778,45.042861,Zaliv Rasa
8.935778,58.62,Tvedestrand
17.160833,42.928722,Korcula
-123.483333,48.85,Ganges
152.78,-9.212111,Suloga Harbor
13.616667,66.233333,Hemnesberget
13.700722,66.874111,Ornes
-3.716722,56.026222,Grangemouth
11.3,63.75,Levanger
-71.96075,61.59725,Maricourt
113.583333,22.233333,Zhuhai
-81.55,23.05,Matanzas
